Category,Description,Name,Url
Consumer Electronics: Computer Hardware: Computers Electronics and Technology,"jaycar electronics offers electronics kits, components, semiconductors, enclosures, batteries & chargers, power supplies, test equipment, tools, speakers, car sound gear, computer accessories, lighting, hdmi accessories, tv antennas and more","Jaycar Electronics | Components, connectors, switches, power, and more",https://www.jaycar.com.au/
Childcare: Marketplace: E-commerce and Shopping,"explore the latest toys at the worlds greatest toy store including lego, toy story 4, disney, star wars and much more at toys r us",Toys R Us Australia - The World's Greatest Toy Store is Back!,https://www.toysrus.com.au/
Consumer Electronics: Marketplace: Business and Consumer Services: Others,"dick smith has all the biggest brands in tech at amazing prices. find incredible deals on iphone, samsung, tvs, audio, cameras and more at dick smith.",Dick Smith | The Best in Tech at Amazing Prices,https://www.dicksmith.com.au/da/
Consumer Electronics: Marketplace: Computer Hardware,"jb hi-fi is australia's largest home entertainment retailer with top products, great quality + value. learn more about our product range online.",JB Hi-Fi - Australia's Largest Home Entertainment Retailer,https://www.jbhifi.com.au/
Consumer Electronics: Computers Electronics and Technology: Programming and Developer Software: Others,"discover the innovative world of apple and shop everything iphone, ipad, apple watch, mac, and apple tv, plus explore accessories, entertainment, and expert device support.",Apple,https://www.apple.com/
Consumer Electronics: Computer Hardware: Computers Electronics and Technology: Others,discover the latest in electronic & smart appliance technology with samsung. find the next big thing from smartphones & tablets to laptops & tvs & more.,Samsung Australia | Mobile | TV | Home Appliances,https://www.samsung.com/au/
Automotive Industry,"moving stories and inspiring interviews. experience the meaning of ""invented for life"" by bosch completely new. visit our international website.",Home | Bosch in Australia,https://www.bosch.com.au/
Marketplace: E-commerce and Shopping: Social Networks and Online Communities: Others,Sorry.,,https://www.davidjones.com/
Marketplace: E-commerce and Shopping,"mid season sale now on. shop at myer, australia's largest department store. shop with afterpay* free shipping on purchases over $49. same day click & collect available in-store. relaxed returns policy.","MYER | Shop Fashion, Homewares, Beauty, Toys & More",https://www.myer.com.au/
Makes and Models: Automotive Industry: Vehicles,welcome to the official home of zoom-zoom. discover more about our range and locate your nearest mazda dealership today.,"Mazda Australia | New Cars, Offers, Dealerships - Zoom-Zoom",https://www.mazda.com.au/
Finance: Business Services: Automotive Industry,"the official website for the tata group, india's only value-based corporation. a visionary, a pioneer, a leader, since 1868",The Tata group. Leadership with Trust.,https://www.tata.com/
Consumer Electronics: Computer Hardware,"learn about sony group corporation's businesses and products; our initiatives in technology, sustainability, and design; and recent press releases, career opportunities, and investor relations info.",Sony Group Portal - Sony Group Corporation Website,https://www.sony.com/en/
Banking Credit and Lending: Finance,"latitude financial services offers simple, flexible options to help you get ahead. from loans to credit cards to insurance, you can do better. learn more.","Loans, Credit Cards & Insurance | Latitude Financial",https://www.latitudefinancial.com.au/
Travel and Tourism: Accommodation and Hotels,"choose from over 1.2 million hotels in more than 200 countries, 30 million real guest reviews. book flights to over 5,000 destinations worldwide. 24/7 customer service.","Trip.com Australia - Cheap Flights, Hotels, Train Tickets",https://au.trip.com/
Groceries: Marketplace: Beverages,"we do things differently, but for a very good reason: our commitment to bringing you the lowest prices on a wide range of high quality products.",ALDI Supermarkets - Good Different - ALDI Australia,https://www.aldi.com.au/
Computers Electronics and Technology: Computer Hardware,"cnet is the world's leader in tech product reviews, news, prices, videos, forums, how-tos and more.","Product reviews, how-tos, deals and the latest tech news - CNET",https://www.cnet.com/
Automotive Industry,"bob jane t-marts is the most trusted name in tyres, wheels and car batteries in australia. we stock the highest quality tyres like bridgestone, continental, goodyear, michelin, pirelli & more. at bob jane t-marts, we will look after you.",Bob Jane T-Marts | Tyre & Wheels Specialist | Best Tyre Price Guarantee,https://www.bobjane.com.au/
Consumer Electronics: Computers Electronics and Technology: Programming and Developer Software,"explore canon australia's range of products and services and check out our inspiring stories, events and tutorials. no one sees it like you.","
        Canon Australia - Cameras, Printers & Multifunction Devices
    ",https://www.canon.com.au/
Groceries: Marketplace,"shop online at woolworths for your groceries. we’re here to help you eat fresher & healthier food, 7 days a week with low prices always.",Woolworths Supermarket - Buy Groceries Online,https://www.woolworths.com.au/
Groceries: Marketplace,discover quick & easy recipes for every occasion. view catalogues & specials. find a coles store near you. shop online. read coles magazine & coles health & beauty.,Coles | Recipes & Meal Inspiration - Weekly Deals Catalogue,https://www.coles.com.au/
